YearsCode,YearsCodePro,DevType
17,10,Developer_ desktop or enterprise applications
6,4,Front-End Developer
7,4,Data Scientist
16,10,Back-End Developer
12,5,Back-End Developer
15,6,Developer_ desktop or enterprise applications
6,2,Fullstack Developer
9,6,Front-End Developer
9,2,Engineer_ data
26,18,Front-End Developer
12,12,Academic researcher
14,5,Academic researcher
39,21,Back-End Developer
14,1,Back-End Developer
20,16,Developer_ desktop or enterprise applications
4,2,Engineer_ data
6,2,Developer_ game or graphics
17,10,Mobile Developer
19,10,Fullstack Developer
8,0,Developer_ embedded applications or devices
20,15,Back-End Developer
0,5,Fullstack Developer
6,3,Academic researcher
6,0,Fullstack Developer
22,15,Developer_ desktop or enterprise applications
7,1,Developer_ desktop or enterprise applications
12,6,Fullstack Developer
14,7,Front-End Developer
5,4,Fullstack Developer
34,12,Fullstack Developer
6,2,Mobile Developer
21,16,Developer_ desktop or enterprise applications
5,3,Fullstack Developer
5,5,Data Analyst
13,5,Front-End Developer
6,5,Front-End Developer
5,2,Data Scientist
25,10,Developer_ desktop or enterprise applications
20,10,Back-End Developer
24,18,Fullstack Developer
10,2,Engineer_ data
30,30,Developer_ desktop or enterprise applications
25,15,Front-End Developer
12,8,Front-End Developer
10,8,Data Scientist
10,3,Front-End Developer
12,7,Fullstack Developer
25,6,Front-End Developer
7,2,Data Scientist
31,17,Back-End Developer
18,1,Engineer_ data
26,14,Fullstack Developer
20,10,DevOps specialist
12,8,Front-End Developer
6,5,Mobile Developer
25,21,Front-End Developer
10,0,Fullstack Developer
10,4,Front-End Developer
3,0,Mobile Developer
10,7,Engineer_ data
8,3,Mobile Developer
18,8,Developer_ desktop or enterprise applications
4,1,Back-End Developer
4,2,Front-End Developer
38,26,Developer_ desktop or enterprise applications
10,3,Fullstack Developer
30,25,Product Manager
10,8,Fullstack Developer
8,3,Mobile Developer
6,1,Fullstack Developer
25,20,Developer_ embedded applications or devices
8,4,Back-End Developer
13,2,Engineer_ data
10,2,Front-End Developer
3,0,Front-End Developer
12,6,Fullstack Developer
5,2,Front-End Developer
8,2,Fullstack Developer
6,4,Mobile Developer
12,8,Developer_ QA or test
6,5,DevOps specialist
17,8,Mobile Developer
7,1,Fullstack Developer
27,16,Developer_ desktop or enterprise applications
17,5,Fullstack Developer
6,3,Front-End Developer
15,20,Developer_ embedded applications or devices
9,4,Front-End Developer
1,3,DevOps specialist
5,3,Front-End Developer
30,25,Developer_ desktop or enterprise applications
5,2,Back-End Developer
4,2,Mobile Developer
38,34,Back-End Developer
4,3,Back-End Developer
27,11,Back-End Developer
15,5,Mobile Developer
2,2,Database administrator
7,5,Fullstack Developer
31,25,Fullstack Developer
15,4,Fullstack Developer
20,7,Front-End Developer
41,24,Developer_ desktop or enterprise applications
9,6,Data Scientist
8,7,Fullstack Developer
13,8,Fullstack Developer
7,4,Engineer_ data
42,22,Data Scientist
13,9,Fullstack Developer
8,8,Back-End Developer
8,4,Back-End Developer
40,25,Front-End Developer
4,2,Front-End Developer
3,3,Data Scientist
16,14,Front-End Developer
26,24,Fullstack Developer
10,6,Back-End Developer
25,17,Fullstack Developer
14,11,Mobile Developer
24,18,Fullstack Developer
35,25,Academic researcher
6,3,Back-End Developer
25,21,Front-End Developer
23,15,Back-End Developer
7,3,Mobile Developer
20,13,Mobile Developer
20,18,Front-End Developer
5,1,Front-End Developer
10,9,Front-End Developer
12,7,Front-End Developer
10,6,Front-End Developer
3,2,Back-End Developer
10,5,Front-End Developer
20,20,Front-End Developer
15,6,Mobile Developer
10,1,Front-End Developer
9,2,Engineering manager
10,6,Developer_ desktop or enterprise applications
9,4,Mobile Developer
4,2,Data Scientist
24,14,Back-End Developer
21,14,Mobile Developer
28,22,Developer_ embedded applications or devices
15,9,Mobile Developer
10,8,Back-End Developer
31,26,Fullstack Developer
12,9,Data Scientist
6,2,Front-End Developer
14,7,Mobile Developer
15,5,Mobile Developer
18,15,Fullstack Developer
6,3,Back-End Developer
7,2,Data Scientist
