WorkedWith,Academic researcher,Back-End Developer,Data Analyst,Data Scientist,Database administrator,DevOps specialist,Developer_ QA or test,Developer_ desktop or enterprise applications,Developer_ embedded applications or devices,Developer_ game or graphics,Engineer_ data,Engineering manager,Front-End Developer,Fullstack Developer,Mobile Developer,Product Manager,Senior Executive (C-Suite_ VP_ etc.),System administrator
APL,8.89,9.84,3.81,4.13,1.59,0.63,0.32,10.79,1.27,0.95,3.81,0.95,14.6,12.06,23.49,0.95,0.95,0.95
Assembly,3.3,10.12,0.38,2.68,0.38,0.96,1.05,14.59,8.11,0.63,3.3,1.38,14.84,17.22,18.9,0.33,1.0,0.84
Bash/Shell,1.79,15.21,0.4,3.48,0.51,3.05,0.91,9.03,2.23,0.26,4.72,1.05,18.47,25.48,11.77,0.22,0.59,0.83
C,3.01,12.1,0.38,3.78,0.28,0.93,1.07,12.51,6.93,0.78,3.59,1.06,15.99,18.17,17.8,0.29,0.59,0.74
C#,0.54,9.55,0.32,1.01,0.29,0.68,0.65,14.03,0.8,0.71,1.65,0.83,21.9,28.68,17.27,0.22,0.55,0.31
C++,2.94,11.77,0.36,4.3,0.19,0.55,0.79,15.38,4.92,1.36,3.44,0.77,15.94,18.74,17.24,0.29,0.5,0.53
COBOL,,,,,,,,,,,,,,,,,,
Clojure,1.17,17.72,0.73,1.39,0.07,0.73,0.44,6.49,0.15,0.22,4.67,1.39,19.26,35.3,8.39,0.44,1.31,0.15
Crystal,,,,,,,,,,,,,,,,,,
Dart,0.28,5.71,0.14,0.7,0.14,0.17,0.25,3.51,0.34,0.11,0.96,0.48,12.79,18.35,54.97,0.31,0.62,0.17
Delphi,0.65,3.93,0.39,0.52,0.39,0.59,0.65,26.72,0.85,0.26,1.64,1.18,20.3,14.47,26.13,0.33,0.72,0.26
Elixir,0.64,20.87,0.16,0.73,0.16,0.81,0.24,3.46,0.24,0.08,1.85,2.1,17.24,37.31,12.49,0.4,0.81,0.4
