ConvertedCompYearly,Country,LearnCode,DevType
62268.0,Slovakia,Coding Bootcamp,Mobile Developer
,United Kingdom of Great Britain and Northern Ireland,"Colleague, friend or family",Developer_ desktop or enterprise applications
,India,Coding Bootcamp,Front-End Developer
51552.0,Sweden,School,Data Scientist
,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Back-End Developer
46482.0,Spain,Online forum and resources,Back-End Developer
77290.0,Germany,Other,Developer_ desktop or enterprise applications
,Peru,School,Data Scientist
17748.0,Turkey,School,Fullstack Developer
46135.0,Canada,School,Front-End Developer
38915.0,France,School,Engineer_ data
77831.0,Germany,School,Front-End Developer
,Germany,Coding Bootcamp,Academic researcher
81319.0,Switzerland,Other,Academic researcher
68507.0,United Kingdom of Great Britain and Northern Ireland,Coding Bootcamp,Back-End Developer
,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Back-End Developer
37752.0,Russian Federation,Online forum and resources,Developer_ desktop or enterprise applications
122580.0,Israel,School,Engineer_ data
,Poland,School,Fullstack Developer
11832.0,Turkey,School,Developer_ game or graphics
24000.0,Ukraine,School,Mobile Developer
60535.0,Germany,School,Fullstack Developer
103000.0,United States of America,Online forum and resources,Developer_ embedded applications or devices
300000.0,United States of America,Online forum and resources,Back-End Developer
,Viet Nam,School,Front-End Developer
,Portugal,School,Fullstack Developer
25944.0,France,Online forum and resources,Academic researcher
,United Kingdom of Great Britain and Northern Ireland,School,Back-End Developer
,France,School,Fullstack Developer
60480.0,Brazil,Coding Bootcamp,Developer_ desktop or enterprise applications
20556.0,Bulgaria,Online forum and resources,Developer_ desktop or enterprise applications
25944.0,Greece,"Colleague, friend or family",Fullstack Developer
,United Kingdom of Great Britain and Northern Ireland,School,Front-End Developer
,India,Online forum and resources,Fullstack Developer
64630.0,United Kingdom of Great Britain and Northern Ireland,Other,Fullstack Developer
,Ireland,Online forum and resources,Mobile Developer
54049.0,Italy,Other,Developer_ desktop or enterprise applications
22644.0,Russian Federation,Online forum and resources,Fullstack Developer
,United States of America,Online Courses or Certification,Data Analyst
130000.0,United States of America,Online forum and resources,Front-End Developer
500000.0,United States of America,"Colleague, friend or family",Front-End Developer
,United Kingdom of Great Britain and Northern Ireland,School,Data Scientist
71850.0,Canada,Other,Developer_ desktop or enterprise applications
58373.0,Spain,School,Back-End Developer
129266.0,United Kingdom of Great Britain and Northern Ireland,Online Courses or Certification,Fullstack Developer
25944.0,Netherlands,Online forum and resources,Engineer_ data
,United States of America,Other,Developer_ desktop or enterprise applications
105000.0,United States of America,Online forum and resources,Front-End Developer
45564.0,Poland,Online forum and resources,Front-End Developer
151263.0,Canada,"Colleague, friend or family",Data Scientist
,Russian Federation,Online forum and resources,Mobile Developer
21620.0,Spain,Online Courses or Certification,Back-End Developer
105024.0,Uzbekistan,Online forum and resources,Front-End Developer
40500.0,Sweden,Online forum and resources,Front-End Developer
43908.0,Switzerland,Online forum and resources,Fullstack Developer
42336.0,Hungary,School,Front-End Developer
,Germany,School,Data Scientist
95295.0,Canada,Other,Back-End Developer
100000.0,United States of America,Online forum and resources,Engineer_ data
61398.0,United Kingdom of Great Britain and Northern Ireland,School,Fullstack Developer
,Belgium,Online forum and resources,Fullstack Developer
108098.0,Netherlands,Online forum and resources,DevOps specialist
,Germany,Online forum and resources,Front-End Developer
,India,Online Courses or Certification,Mobile Developer
,Italy,Online forum and resources,Front-End Developer
518868.0,Germany,Other,Fullstack Developer
27336.0,Poland,Online forum and resources,Front-End Developer
,India,Online forum and resources,Mobile Developer
5216.0,Sweden,School,Engineer_ data
151337.0,France,Online forum and resources,Mobile Developer
24648.0,Germany,School,Developer_ desktop or enterprise applications
7788.0,Pakistan,Online forum and resources,Back-End Developer
,Israel,School,Front-End Developer
134176.0,Switzerland,Other,Developer_ desktop or enterprise applications
64630.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
,France,School,Product Manager
38915.0,Spain,Coding Bootcamp,Fullstack Developer
4944.0,Nigeria,Online forum and resources,Mobile Developer
29508.0,Germany,Online forum and resources,Fullstack Developer
,Sweden,School,Developer_ embedded applications or devices
,Netherlands,School,Back-End Developer
14268.0,Italy,School,Engineer_ data
43239.0,Netherlands,Online forum and resources,Front-End Developer
48.0,Albania,Online forum and resources,Front-End Developer
140000.0,United States of America,"Colleague, friend or family",Fullstack Developer
45401.0,France,Online forum and resources,Front-End Developer
,India,Online forum and resources,Fullstack Developer
14124.0,Bangladesh,Online forum and resources,Mobile Developer
59676.0,Austria,Other,Developer_ QA or test
101916.0,Israel,Online Courses or Certification,DevOps specialist
21000.0,Viet Nam,School,Mobile Developer
54000.0,United States of America,School,Fullstack Developer
200000.0,United States of America,"Colleague, friend or family",Developer_ desktop or enterprise applications
36324.0,Netherlands,School,Fullstack Developer
596700.0,Germany,Other,Front-End Developer
,Italy,Other,Developer_ embedded applications or devices
105884.0,Canada,"Colleague, friend or family",Fullstack Developer
,Slovakia,Online forum and resources,Front-End Developer
38778.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,DevOps specialist
63530.0,Canada,Online forum and resources,Data Analyst
48600.0,Poland,Online forum and resources,Front-End Developer
59454.0,Netherlands,Online forum and resources,Developer_ desktop or enterprise applications
,"Iran, Islamic Republic of...","Colleague, friend or family",Back-End Developer
14652.0,Romania,Other,Mobile Developer
200000.0,United States of America,School,Back-End Developer
,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Back-End Developer
97288.0,Germany,Online forum and resources,Back-End Developer
75492.0,Russian Federation,School,Mobile Developer
36000.0,Sri Lanka,Online forum and resources,Database administrator
,India,Online forum and resources,Developer_ desktop or enterprise applications
49725.0,France,Online forum and resources,Fullstack Developer
87552.0,Israel,Online forum and resources,Developer_ QA or test
70047.0,United Kingdom of Great Britain and Northern Ireland,Other,Fullstack Developer
98500.0,United States of America,Coding Bootcamp,Fullstack Developer
2340.0,India,Online forum and resources,Front-End Developer
