Employment,ConvertedCompYearly,Country,DevType
"Independent contractor, freelancer, or self-employed",62268,Slovakia,Mobile Developer
Employed full-time,51552,Sweden,Data Scientist
Employed full-time,46482,Spain,Back-End Developer
Employed full-time,77290,Germany,Developer_ desktop or enterprise applications
Employed full-time,17748,Turkey,Fullstack Developer
Employed full-time,46135,Canada,Front-End Developer
Employed full-time,38915,France,Engineer_ data
Employed full-time,77831,Germany,Front-End Developer
Employed full-time,81319,Switzerland,Academic researcher
Employed full-time,68507,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,37752,Russian Federation,Developer_ desktop or enterprise applications
Employed full-time,122580,Israel,Engineer_ data
Employed full-time,11832,Turkey,Developer_ game or graphics
Employed full-time,24000,Ukraine,Mobile Developer
Employed full-time,60535,Germany,Fullstack Developer
Employed full-time,103000,United States of America,Developer_ embedded applications or devices
Employed full-time,300000,United States of America,Back-End Developer
Employed full-time,25944,France,Academic researcher
Employed full-time,60480,Brazil,Developer_ desktop or enterprise applications
Employed full-time,20556,Bulgaria,Developer_ desktop or enterprise applications
Employed full-time,25944,Greece,Fullstack Developer
Employed full-time,64630,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,54049,Italy,Developer_ desktop or enterprise applications
Employed full-time,22644,Russian Federation,Fullstack Developer
Employed full-time,130000,United States of America,Front-End Developer
"Independent contractor, freelancer, or self-employed",500000,United States of America,Front-End Developer
Employed full-time,71850,Canada,Developer_ desktop or enterprise applications
Employed full-time,58373,Spain,Back-End Developer
Employed full-time,129266,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,25944,Netherlands,Engineer_ data
Employed full-time,105000,United States of America,Front-End Developer
Employed full-time,45564,Poland,Front-End Developer
Employed full-time,151263,Canada,Data Scientist
Employed full-time,21620,Spain,Back-End Developer
"Independent contractor, freelancer, or self-employed",105024,Uzbekistan,Front-End Developer
Employed full-time,40500,Sweden,Front-End Developer
Employed part-time,43908,Switzerland,Fullstack Developer
Employed full-time,42336,Hungary,Front-End Developer
Employed full-time,95295,Canada,Back-End Developer
Employed full-time,100000,United States of America,Engineer_ data
Employed full-time,61398,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,108098,Netherlands,DevOps specialist
Employed full-time,518868,Germany,Fullstack Developer
Employed full-time,27336,Poland,Front-End Developer
Employed full-time,5216,Sweden,Engineer_ data
"Independent contractor, freelancer, or self-employed",151337,France,Mobile Developer
Employed part-time,24648,Germany,Developer_ desktop or enterprise applications
Employed full-time,7788,Pakistan,Back-End Developer
Employed full-time,134176,Switzerland,Developer_ desktop or enterprise applications
Employed full-time,64630,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,38915,Spain,Fullstack Developer
Employed full-time,4944,Nigeria,Mobile Developer
Employed part-time,29508,Germany,Fullstack Developer
Employed full-time,14268,Italy,Engineer_ data
Employed full-time,43239,Netherlands,Front-End Developer
Employed full-time,48,Albania,Front-End Developer
Employed full-time,140000,United States of America,Fullstack Developer
Employed full-time,45401,France,Front-End Developer
Employed full-time,14124,Bangladesh,Mobile Developer
Employed full-time,59676,Austria,Developer_ QA or test
Employed full-time,101916,Israel,DevOps specialist
"Independent contractor, freelancer, or self-employed",21000,Viet Nam,Mobile Developer
Employed full-time,54000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",200000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,36324,Netherlands,Fullstack Developer
Employed full-time,596700,Germany,Front-End Developer
Employed full-time,105884,Canada,Fullstack Developer
Employed full-time,38778,United Kingdom of Great Britain and Northern Ireland,DevOps specialist
Employed full-time,63530,Canada,Data Analyst
"Independent contractor, freelancer, or self-employed",48600,Poland,Front-End Developer
"Independent contractor, freelancer, or self-employed",59454,Netherlands,Developer_ desktop or enterprise applications
Employed full-time,14652,Romania,Mobile Developer
Employed full-time,200000,United States of America,Back-End Developer
Employed full-time,97288,Germany,Back-End Developer
Employed full-time,75492,Russian Federation,Mobile Developer
"Independent contractor, freelancer, or self-employed",36000,Sri Lanka,Database administrator
Employed full-time,49725,France,Fullstack Developer
Employed full-time,87552,Israel,Developer_ QA or test
Employed full-time,70047,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,98500,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",2340,India,Front-End Developer
Employed full-time,115000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,43908,Switzerland,Data Scientist
Employed full-time,103408,Lithuania,Fullstack Developer
Employed full-time,42000,Ukraine,Fullstack Developer
Employed full-time,105072,Israel,Engineer_ data
Employed full-time,71093,United Kingdom of Great Britain and Northern Ireland,Data Scientist
Employed full-time,59676,Slovenia,Back-End Developer
Employed full-time,17412,Croatia,Back-End Developer
"Independent contractor, freelancer, or self-employed",14844,Georgia,Front-End Developer
Employed full-time,98321,Canada,Data Scientist
Employed full-time,25944,Germany,Back-End Developer
Employed full-time,54049,Italy,Front-End Developer
Employed full-time,51887,Germany,Front-End Developer
"Independent contractor, freelancer, or self-employed",115784,Denmark,Fullstack Developer
Employed full-time,56616,Russian Federation,Back-End Developer
Employed full-time,69183,Ireland,Mobile Developer
Employed full-time,25944,Greece,Fullstack Developer
Employed full-time,60752,United Kingdom of Great Britain and Northern Ireland,Academic researcher
Employed full-time,16704,Poland,Back-End Developer
Employed full-time,81420,Romania,Back-End Developer
Employed full-time,14280,Lebanon,Mobile Developer
Employed full-time,84019,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,63648,Bahrain,Front-End Developer
Employed full-time,4620,Egypt,Front-End Developer
Employed full-time,70000,United States of America,Front-End Developer
Employed full-time,91883,Ireland,Front-End Developer
Employed full-time,30192,Russian Federation,Back-End Developer
Employed full-time,90000,United States of America,Front-End Developer
Employed full-time,21600,Colombia,Front-End Developer
Employed full-time,50592,Netherlands,Mobile Developer
Employed full-time,1512,India,Front-End Developer
Employed full-time,193000,United States of America,Engineering manager
Employed full-time,2650000,United States of America,Developer_ desktop or enterprise applications
Employed full-time,28536,Greece,Mobile Developer
Employed full-time,96874,Australia,Data Scientist
Employed full-time,77556,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
"Independent contractor, freelancer, or self-employed",103408,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,121979,Switzerland,Developer_ embedded applications or devices
Employed full-time,75492,Russian Federation,Mobile Developer
"Independent contractor, freelancer, or self-employed",84316,Germany,Back-End Developer
Employed full-time,43404,Russian Federation,Fullstack Developer
Employed full-time,75669,Belgium,Data Scientist
Employed full-time,22584,Chile,Front-End Developer
Employed full-time,103408,United Kingdom of Great Britain and Northern Ireland,Mobile Developer
Employed full-time,44320,France,Mobile Developer
Employed full-time,51704,United Kingdom of Great Britain and Northern Ireland,Front-End Developer
Employed full-time,165000,United States of America,Fullstack Developer
Employed full-time,5268,Indonesia,Mobile Developer
Employed full-time,51888,Germany,Fullstack Developer
Employed full-time,85500,"Iran, Islamic Republic of...",Front-End Developer
Employed full-time,3700000,United States of America,Fullstack Developer
"Independent contractor, freelancer, or self-employed",48000,Bangladesh,Fullstack Developer
Employed full-time,64859,France,Mobile Developer
Employed full-time,42158,Germany,Mobile Developer
Employed full-time,32424,Germany,Developer_ desktop or enterprise applications
Employed part-time,51888,Netherlands,Data Scientist
Employed full-time,35028,France,Academic researcher
Employed full-time,9084,Portugal,Front-End Developer
Employed full-time,74588,Germany,Back-End Developer
Employed full-time,33732,Slovakia,Front-End Developer
Employed full-time,27852,Bulgaria,Front-End Developer
Employed full-time,50153,United Kingdom of Great Britain and Northern Ireland,Back-End Developer
Employed full-time,30716,India,Mobile Developer
Employed full-time,77831,France,Back-End Developer
Employed full-time,81624,Denmark,Front-End Developer
Employed full-time,54049,Germany,Academic researcher
Employed full-time,10450,Armenia,Mobile Developer
Employed full-time,41077,France,Front-End Developer
Employed full-time,45396,Finland,Mobile Developer
Employed full-time,19389,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,77831,France,Fullstack Developer
Employed full-time,160000,United States of America,Developer_ embedded applications or devices
Employed full-time,200409,Israel,Back-End Developer
"Independent contractor, freelancer, or self-employed",185000,United States of America,Fullstack Developer
Employed full-time,107972,United States of America,DevOps specialist
Employed full-time,66897,Hong Kong (S.A.R.),Fullstack Developer
Employed full-time,75000,Argentina,Fullstack Developer
Employed full-time,48472,United Kingdom of Great Britain and Northern Ireland,Fullstack Developer
Employed full-time,120000,United States of America,Fullstack Developer
Employed full-time,8796,Brazil,Front-End Developer
Employed full-time,32429,Spain,Mobile Developer
"Independent contractor, freelancer, or self-employed",4272,"Iran, Islamic Republic of...",Fullstack Developer
Employed full-time,28105,Spain,Fullstack Developer
Employed full-time,77832,Finland,Back-End Developer
Employed full-time,51704,United Kingdom of Great Britain and Northern Ireland,Academic researcher
Employed full-time,18000,Costa Rica,Front-End Developer
"Independent contractor, freelancer, or self-employed",43239,Netherlands,Front-End Developer
Employed full-time,9231,Egypt,Mobile Developer
Employed full-time,70264,Germany,Fullstack Developer
Employed full-time,5388,Egypt,Mobile Developer
Employed full-time,115000,United States of America,Fullstack Developer
Employed full-time,144000,United States of America,Front-End Developer
Employed full-time,65508,Ireland,Back-End Developer
Employed full-time,70264,Germany,Developer_ desktop or enterprise applications
Employed full-time,181515,Canada,Developer_ embedded applications or devices
Employed full-time,81000,Sweden,Back-End Developer
