"year","ID","Job_title","sector","skills","Interest level","Level"
2019,"#1","Growth Hacker","Back-end Development",".Net","1","1"
2019,"#1","Growth Hacker","Back-end Development","Cloud Computing","1","1"
2019,"#1","Growth Hacker","Back-end Development","Cordova","1","1"
2019,"#1","Growth Hacker","Back-end Development","Django","1","1"
2019,"#1","Growth Hacker","Back-end Development","Docker","1","1"
2019,"#1","Growth Hacker","Back-end Development","ExpressJs","1","1"
2019,"#1","Growth Hacker","Back-end Development","Flask","1","1"
2019,"#1","Growth Hacker","Back-end Development","Java","1","1"
2019,"#1","Growth Hacker","Back-end Development","Kubernetes","1","1"
2019,"#1","Growth Hacker","Back-end Development","Laravel","1","1"
2019,"#1","Growth Hacker","Back-end Development","Microservices","1","1"
2019,"#1","Growth Hacker","Back-end Development","NoSQL","1","1"
2019,"#1","Growth Hacker","Back-end Development","NodeJs","1","1"
2019,"#1","Growth Hacker","Back-end Development","Php","1","1"
2019,"#1","Growth Hacker","Back-end Development","Ruby","1","1"
2019,"#1","Growth Hacker","Back-end Development","SQL","1","1"
2019,"#1","Growth Hacker","Communication","Branding","1","1"
2019,"#1","Growth Hacker","Communication","Communication strategy","1","1"
2019,"#1","Growth Hacker","Communication","Oral communication","1","2"
2019,"#1","Growth Hacker","Communication","Storytelling","1","1"
2019,"#1","Growth Hacker","Communication","Written communication","1","3"
2019,"#1","Growth Hacker","Data Architecture","Airflow","1","1"
2019,"#1","Growth Hacker","Data Architecture","C","1","1"
2019,"#1","Growth Hacker","Data Architecture","C++","1","1"
2019,"#1","Growth Hacker","Data Architecture","Cloud Functions","1","1"
2019,"#1","Growth Hacker","Data Architecture","Hive","1","1"
2019,"#1","Growth Hacker","Data Architecture","Kafka","1","1"
2019,"#1","Growth Hacker","Data Architecture","MapReduce","1","1"
2019,"#1","Growth Hacker","Data Architecture","Pig","1","1"
2019,"#1","Growth Hacker","Data Architecture","Scala","1","1"
2019,"#1","Growth Hacker","Data Architecture","Spark","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","3Djs","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Applied maths and statistics","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Data mining and modeling tools","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Data visualization and data migration","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Deep learning","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Excel or Google Sheets","2","4"
2019,"#1","Growth Hacker","Data Science et data analyse","NLTK","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Numpy","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Pandas","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Presentation Skills","4","2"
2019,"#1","Growth Hacker","Data Science et data analyse","Python","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Pytorch","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","R","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Scikit Learn","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Tensorflow","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Unstructured data","1","1"
2019,"#1","Growth Hacker","Data Science et data analyse","Web Scraping","1","1"
2019,"#1","Growth Hacker","Design & experience","Adobe Illustrator","1","1"
2019,"#1","Growth Hacker","Design & experience","Adobe InDesign","1","1"
2019,"#1","Growth Hacker","Design & experience","Adobe Photoshop","1","1"
2019,"#1","Growth Hacker","Design & experience","Adobe XD","1","1"
2019,"#1","Growth Hacker","Design & experience","Design thinking methods","1","1"
2019,"#1","Growth Hacker","Design & experience","Motion design","1","1"
2019,"#1","Growth Hacker","Design & experience","Prototyping tools","1","1"
2019,"#1","Growth Hacker","Design & experience","UX Design","1","1"
2019,"#1","Growth Hacker","Design & experience","User research","1","1"
2019,"#1","Growth Hacker","Design & experience","Webdesign","1","1"
2019,"#1","Growth Hacker","Design & experience","Wireframing tools","1","1"
2019,"#1","Growth Hacker","Marketing","A/B testing","4","4"
2019,"#1","Growth Hacker","Marketing","Conversation rate optimisation","3","3"
2019,"#1","Growth Hacker","Marketing","Display advertising","1","1"
2019,"#1","Growth Hacker","Marketing","Email marketing","4","4"
2019,"#1","Growth Hacker","Marketing","Google AdWords","3","4"
2019,"#1","Growth Hacker","Marketing","Google Analytics","2","4"
2019,"#1","Growth Hacker","Marketing","Google Search Console","4","3"
2019,"#1","Growth Hacker","Marketing","Google Tag Manager","4","1"
2019,"#1","Growth Hacker","Marketing","Growth analysis","4","4"
2019,"#1","Growth Hacker","Marketing","Growth hacking","4","4"
2019,"#1","Growth Hacker","Marketing","Marketing operations","2","2"
2019,"#1","Growth Hacker","Marketing","Offline marketing","1","1"
2019,"#1","Growth Hacker","Marketing","Online marketing","4","2"
2019,"#1","Growth Hacker","Marketing","Other analytics tools (ATInternet...)","4","2"
2019,"#1","Growth Hacker","Marketing","SEA","4","1"
2019,"#1","Growth Hacker","Marketing","SEM","4","1"
2019,"#1","Growth Hacker","Marketing","SEO","4","3"
2019,"#1","Growth Hacker","Marketing","SEO tools","4","2"
2019,"#1","Growth Hacker","Marketing","Social media analytics","4","2"
2019,"#1","Growth Hacker","Marketing","Social media marketing","2","2"
2019,"#1","Growth Hacker","Marketing","Strategic thinking","4","3"
2019,"#1","Growth Hacker","Mobile development","CICD","1","1"
2019,"#1","Growth Hacker","Mobile development","CapacitorJs","1","1"
2019,"#1","Growth Hacker","Mobile development","Flutter","1","1"
2019,"#1","Growth Hacker","Mobile development","Ionic","1","1"
2019,"#1","Growth Hacker","Mobile development","Kotlin","1","1"
2019,"#1","Growth Hacker","Mobile development","Objective-C","1","1"
2019,"#1","Growth Hacker","Mobile development","Swift","1","1"
2019,"#1","Growth Hacker","Project management","Agile methods","3","1"
2019,"#1","Growth Hacker","Project management","Analytical skills","4","4"
2019,"#1","Growth Hacker","Project management","Business skills","4","3"
2019,"#1","Growth Hacker","Project management","Data presentation","4","3"
2019,"#1","Growth Hacker","Project management","Delegations skills","4","1"
2019,"#1","Growth Hacker","Project management","Diplomacy","2","2"
2019,"#1","Growth Hacker","Project management","Persuasion skills","4","2"
2019,"#1","Growth Hacker","Project management","Prioritization skills","4","4"
2019,"#1","Growth Hacker","Project management","Project management tools (Jira...)","3","1"
2019,"#1","Growth Hacker","Project management","Reporting","4","4"
2019,"#1","Growth Hacker","Project management","Research skills","4","4"
2019,"#1","Growth Hacker","Project management","Scrum methods","4","1"
2019,"#1","Growth Hacker","Project management","Self management","4","3"
2019,"#1","Growth Hacker","Project management","Statistical analysis and analytics","4","4"
2019,"#1","Growth Hacker","Project management","Technical expertise","3","3"
2019,"#1","Growth Hacker","Project management","Time management","4","3"
2019,"#1","Growth Hacker","Social media","Facebook","1","4"
2019,"#1","Growth Hacker","Social media","Instagram","1","4"
2019,"#1","Growth Hacker","Social media","LinkedIn","1","3"
2019,"#1","Growth Hacker","Social media","Pinterest","1","2"
2019,"#1","Growth Hacker","Social media","Snapchat","1","3"
2019,"#1","Growth Hacker","Social media","TikTok","1","3"
2019,"#1","Growth Hacker","Social media","Tumblr","1","3"
2019,"#1","Growth Hacker","Social media","Twitter","1","3"
2019,"#1","Growth Hacker","Web Development","Angular","1","1"
2019,"#1","Growth Hacker","Web Development","Bootstrap","1","2"
2019,"#1","Growth Hacker","Web Development","CSS","1","3"
2019,"#1","Growth Hacker","Web Development","Ember.js","1","1"
2019,"#1","Growth Hacker","Web Development","Git","1","2"
2019,"#1","Growth Hacker","Web Development","GitHub","2","2"
2019,"#1","Growth Hacker","Web Development","Gulp","1","1"
2019,"#1","Growth Hacker","Web Development","Gunt","1","1"
2019,"#1","Growth Hacker","Web Development","HTML","1","4"
2019,"#1","Growth Hacker","Web Development","JQuery","1","1"
2019,"#1","Growth Hacker","Web Development","JavaScript","1","3"
2019,"#1","Growth Hacker","Web Development","Less","1","1"
2019,"#1","Growth Hacker","Web Development","Next Js","1","1"
2019,"#1","Growth Hacker","Web Development","React","1","1"
2019,"#1","Growth Hacker","Web Development","Sass","1","1"
2019,"#1","Growth Hacker","Web Development","Svelte","1","1"
2019,"#1","Growth Hacker","Web Development","Tailwind","1","1"
2019,"#1","Growth Hacker","Web Development","Vue","1","1"
2020,"#1","Growth Hacker","Back-end Development",".Net","1","1"
2020,"#1","Growth Hacker","Back-end Development","Cloud Computing","1","1"
2020,"#1","Growth Hacker","Back-end Development","Cordova","1","1"
2020,"#1","Growth Hacker","Back-end Development","Django","1","1"
2020,"#1","Growth Hacker","Back-end Development","Docker","1","1"
2020,"#1","Growth Hacker","Back-end Development","ExpressJs","1","1"
2020,"#1","Growth Hacker","Back-end Development","Flask","1","1"
2020,"#1","Growth Hacker","Back-end Development","Java","1","1"
2020,"#1","Growth Hacker","Back-end Development","Kubernetes","1","1"
2020,"#1","Growth Hacker","Back-end Development","Laravel","1","1"
2020,"#1","Growth Hacker","Back-end Development","Microservices","1","1"
2020,"#1","Growth Hacker","Back-end Development","NoSQL","1","1"
2020,"#1","Growth Hacker","Back-end Development","NodeJs","1","1"
2020,"#1","Growth Hacker","Back-end Development","Php","1","1"
2020,"#1","Growth Hacker","Back-end Development","Ruby","1","1"
2020,"#1","Growth Hacker","Back-end Development","SQL","1","1"
2020,"#1","Growth Hacker","Communication","Branding","1","1"
2020,"#1","Growth Hacker","Communication","Communication strategy","1","1"
2020,"#1","Growth Hacker","Communication","Oral communication","4","2"
2020,"#1","Growth Hacker","Communication","Storytelling","4","1"
2020,"#1","Growth Hacker","Communication","Written communication","1","3"
2020,"#1","Growth Hacker","Data Architecture","Airflow","1","1"
2020,"#1","Growth Hacker","Data Architecture","C","1","1"
2020,"#1","Growth Hacker","Data Architecture","C++","1","1"
2020,"#1","Growth Hacker","Data Architecture","Cloud Functions","1","1"
2020,"#1","Growth Hacker","Data Architecture","Hive","1","1"
2020,"#1","Growth Hacker","Data Architecture","Kafka","1","1"
2020,"#1","Growth Hacker","Data Architecture","MapReduce","1","1"
2020,"#1","Growth Hacker","Data Architecture","Pig","1","1"
2020,"#1","Growth Hacker","Data Architecture","Scala","1","1"
2020,"#1","Growth Hacker","Data Architecture","Spark","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","3Djs","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Applied maths and statistics","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Data mining and modeling tools","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Data visualization and data migration","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Deep learning","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Excel or Google Sheets","2","4"
2020,"#1","Growth Hacker","Data Science et data analyse","NLTK","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Numpy","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Pandas","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Presentation Skills","4","2"
2020,"#1","Growth Hacker","Data Science et data analyse","Python","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Pytorch","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","R","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Scikit Learn","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Tensorflow","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Unstructured data","1","1"
2020,"#1","Growth Hacker","Data Science et data analyse","Web Scraping","1","1"
2020,"#1","Growth Hacker","Design & experience","Adobe Illustrator","1","1"
2020,"#1","Growth Hacker","Design & experience","Adobe InDesign","1","1"
2020,"#1","Growth Hacker","Design & experience","Adobe Photoshop","1","1"
2020,"#1","Growth Hacker","Design & experience","Adobe XD","1","1"
2020,"#1","Growth Hacker","Design & experience","Design thinking methods","1","1"
2020,"#1","Growth Hacker","Design & experience","Motion design","1","1"
2020,"#1","Growth Hacker","Design & experience","Prototyping tools","1","1"
2020,"#1","Growth Hacker","Design & experience","UX Design","1","1"
2020,"#1","Growth Hacker","Design & experience","User research","1","1"
2020,"#1","Growth Hacker","Design & experience","Webdesign","1","1"
2020,"#1","Growth Hacker","Design & experience","Wireframing tools","1","1"
2020,"#1","Growth Hacker","Marketing","A/B testing","1","3"
2020,"#1","Growth Hacker","Marketing","Conversation rate optimisation","1","3"
2020,"#1","Growth Hacker","Marketing","Display advertising","1","1"
2020,"#1","Growth Hacker","Marketing","Email marketing","2","4"
2020,"#1","Growth Hacker","Marketing","Google AdWords","4","4"
2020,"#1","Growth Hacker","Marketing","Google Analytics","1","3"
2020,"#1","Growth Hacker","Marketing","Google Search Console","2","3"
2020,"#1","Growth Hacker","Marketing","Google Tag Manager","4","2"
2020,"#1","Growth Hacker","Marketing","Growth analysis","2","4"
2020,"#1","Growth Hacker","Marketing","Growth hacking","2","4"
2020,"#1","Growth Hacker","Marketing","Marketing operations","2","2"
2020,"#1","Growth Hacker","Marketing","Offline marketing","1","1"
2020,"#1","Growth Hacker","Marketing","Online marketing","4","2"
2020,"#1","Growth Hacker","Marketing","Other analytics tools (ATInternet...)","2","2"
2020,"#1","Growth Hacker","Marketing","SEA","4","3"
2020,"#1","Growth Hacker","Marketing","SEM","4","3"
2020,"#1","Growth Hacker","Marketing","SEO","4","4"
2020,"#1","Growth Hacker","Marketing","SEO tools","4","4"
2020,"#1","Growth Hacker","Marketing","Social media analytics","2","2"
2020,"#1","Growth Hacker","Marketing","Social media marketing","1","2"
2020,"#1","Growth Hacker","Marketing","Strategic thinking","3","3"
2020,"#1","Growth Hacker","Mobile development","CICD","1","1"
2020,"#1","Growth Hacker","Mobile development","CapacitorJs","1","1"
2020,"#1","Growth Hacker","Mobile development","Flutter","1","1"
2020,"#1","Growth Hacker","Mobile development","Ionic","1","1"
2020,"#1","Growth Hacker","Mobile development","Kotlin","1","1"
2020,"#1","Growth Hacker","Mobile development","Objective-C","1","1"
2020,"#1","Growth Hacker","Mobile development","Swift","1","1"
2020,"#1","Growth Hacker","Project management","Agile methods","4","1"
